#,"Name  of the Police Station , ADDRESS & Phone number",District
115,"Traffic(TIW), Coimbatore City, TIW – CENTRAL,KATOOR PS BUILDINGS, DR. NANJAPPA ROAD, CBE-18. Ph: 0422-2304880 (TN Police Special Unit)",Coimbatore
116,"Traffic(TIW), Coimbatore City, TIW- EAST,B5 SINGANALLUR PS-BUILDING, SINGANALLUR, TRICHY ROAD, CBE.. Ph: 0422- 2580314 (TN Police Special Unit)",Coimbatore
117,"Traffic(TIW), Coimbatore City, TIW-WEST,B2 R.S.PURAM- CRIME PS BUILDING,
COIMBATORE-02.. Ph: 0422-4365790 (TN Police Special Unit)",Coimbatore
118,"Traffic(Enforcement PS), Coimbatore city, B4 Race Course Traffic P.S, B4 Racecourse,
Coimbatore-18. . Ph: 2306482 (TN Police Special Unit)",Coimbatore
119,"Traffic(Enforcement PS), Coimbatore city,  B3Katoor Traffic P.S.., B3 Kattur
B3 Police Station, Coimbatore -18. . Ph: 23002005 (TN Police Special Unit)",Coimbatore
120,"Traffic(Enforcement PS), Coimbatore city, B5 Singanallur  Traffic  PS, B5 Singanallur PS Trichy Road, Coimbatore.. Ph: 2580354 (TN Police Special Unit)",Coimbatore
121,"Traffic(Enforcement PS), Coimbatore city, B6 Peelamedu  Traffic PS, B6 Peelamedu PS Avinsahi Road, Coimbatore-04. Ph: 2580804 (TN Police Special Unit)",Coimbatore
122,"Traffic(Enforcement PS), Coimbatore city, B7 R.N.Puram Traffic PS, B7 Ramanathapuram Police Station,
Puliyakulam, Coimbatore.. Ph: 2580628 (TN Police Special Unit)",Coimbatore
123,"Traffic(Enforcement PS), Coimbatore city, B9 Saravananmpatti  Traffic PS, B9 Saravanapatti PS, Sarvaranam Patti, Coimbatore. Ph: 2666445 (TN Police Special Unit)",Coimbatore
124,"Traffic(Enforcement PS), Coimbatore city, B15  Rathinapuri Traffic PS, B15 Rathinapuri PS, Rathinapuri, Coimbatore.. Ph: 2520300 (TN Police Special Unit)",Coimbatore
125,"Traffic(Enforcement PS), Coimbatore city, B1 Bazaar Traffic P.S. , IB1 Bazaar PS, Coimbatore-01. Ph: 2306482 (TN Police Special Unit)",Coimbatore
126,"Traffic(Enforcement PS), Coimbatore city, B2 R.S.Puram Traffic P.S. , B2 R.S.Puram 
Coimbatore-2
. Ph: 4365223 (TN Police Special Unit)",Coimbatore
127,"Traffic(Enforcement PS), Coimbatore city, B10 Selvapuram , B10 Selvapuram PS,
Selvapuram, Coimbatore.. Ph: 2347400 (TN Police Special Unit)",Coimbatore
128,"Traffic(Enforcement PS), Coimbatore city, B11Saibaba Colony, B11 Saibaba colonyPS,
Saibaba Colony, Coimbatore.. Ph: 2458008 (TN Police Special Unit)",Coimbatore
129,"Traffic(Enforcement PS), Coimbatore city, B 13 Podanur Traffic P.S., B13 Podanoor PS,
Podanur, Coimbatore.. Ph: 2410925 (TN Police Special Unit)",Coimbatore
130,"Traffic(Enforcement PS), Coimbatore city, B14 Kuniyamuthur PS, B14 Kuniyamuthur PS, Palaghat Road, Kuniyamuthur, Coimbatore.. Ph: 2250500 (TN Police Special Unit)",Coimbatore
131,"Traffic(Enforcement PS), Coimbatore city, TRAFFIC-(EAST),B5 SINGANALLUR PS-BUILDING, SINGANALLUR, TRICHY ROAD, CBE.. Ph: 0422-2302652 (TN Police Special Unit)",Coimbatore
132,"Traffic(Enforcement PS), Coimbatore city, TRAFFIC-(EAST), FLOWER MARKET,
COIMBATORE-02.. Ph: 0422-2472300 (TN Police Special Unit)",Coimbatore
133,"Traffic(Enforcement PS), Coimbatore District , INSPECTOR OF POLICE  
Traffic Enforcement , East Traffice,
Town PS. Road , Pollachi. Ph: 04259-224433 (TN Police Special Unit)",Coimbatore
134,"Traffic(Enforcement PS), Coimbatore District , INSPECTOR OF POLICE  
Traffic Enforcement , 
Thudiyalur PS
Mettupalayam   Road ,
Coimbatore. Dt.. Ph: 0422-2642990 (TN Police Special Unit)",Coimbatore
135,"Traffic(Enforcement PS), Coimbatore District , INSPECTOR OF POLICE  
Traffic Enforcement , Traffice 
Mettupalayam PS
Sirumugai Road , Mettupalayam 
Coimbatore. Dt.. Ph: 04254-222222 (TN Police Special Unit)",Coimbatore
136,"Traffic(Enforcement PS), Tiruppur , TIRUPPUR NORTH TRAFFIC ,Tiruppur North PS  Taluk Compound, Kumaran Road, Tiruppur -1. . Ph: 98430-77256 (TN Police Special Unit)",Coimbatore
137,"Traffic(Enforcement PS), Tiruppur , TIRUPPUR SOUTH TRAFFIC ,Inspector of Police, Tiruppur south Traffic, Dharapuram road, Tiruppur. Ph: 9344210261 (TN Police Special Unit)",Coimbatore
138,"Traffic(Enforcement PS), Tiruppur , AVINAHI TRAFFIC ,Inspector of Police,
Avinashi Traffic  Police Station, Avinashi , Tiruppur. Ph: 9486181004 (TN Police Special Unit)",Coimbatore
139,"Traffic(Enforcement PS), Tiruppur , PALLADAM TRAFFIC ,Sub- Inspector of Police, Palladam Police Station, Palladam . Ph: 98434-11088 (TN Police Special Unit)",Coimbatore
140,"Railway Police Stn, COIMBATORE",Coimbatore
141,"Railway Police Stn, THIRUPPUR",Coimbatore
142,"PEW, Coimbatore , INSPECTOR OF POLICE  
Prohibition Enforcement Wing, perur.  
L.I.C. Colony  Sundarapuram..
Coimbatore. Dt.. Ph: 0422-2670163 (TN Police Special Unit)",Coimbatore
143,"PEW, Coimbatore , INSPECTOR OF POLICE  
Prohibition Enforcement Wing, Avinashi.  
Nambiyur Road , Avinashi. 
Coimbatore. Dt.. Ph: 04296-273330 (TN Police Special Unit)",Coimbatore
144,"SJ & HR, Coimbatore  , Inspector of Police, Social Justice & Human Rights, DPO Complex, Coimbatore.. Ph: 0422-2301258 (TN Police Special Unit)",Coimbatore
145,"ANNAMALAINAGAR Police Station, Inspector of PoliceAnnamalai nagar PS Annamalai nagar.Chidambaram T.K 608601. PH: 04144 - 238203",Cuddalore
146,"AVINANKUDI Police Station, Sub-Inspector of PoliceAvinangudi PS Avinangudi 606112 . PH: 04143 - 246266",Cuddalore
147,"BHUVANAGIRI Police Station, Inspector of PoliceVirudhachalam main roadBazaar st,Chidambaram T.K 608601. PH: 04144 - 241244",Cuddalore
148,"CHIDAMBARAM TALUK Police Station, Inspector of PoliceTaluk office campus Chidambaram T.K608601. PH: 04144 - 222202",Cuddalore
149,"CHIDAMBARAM TOWN Police Station, Inspector of PoliceMellaveethi, Chidambaram townChidambaram T.K 608601. PH: 04144 - 222377 / 201",Cuddalore
150,"CUDDALORE NT Police Station, Inspector of PoliceBharathi road, Manjakuppam. 607001 . PH: 04142 - 230022",Cuddalore
151,"CUDDALORE OT Police Station,  Inspector of Police Imperial road, Chidambaram main road,Cuddalore O.T 607003 . PH: 04142 - 297014",Cuddalore
152,"CUDDALORE PORT Police Station, Sub-Inspector of Police Pachiyankuppam roadCuddalore port  607003. PH: 04142 - 297690",Cuddalore
153,"KADAMPULIYUR Police Station, Inspector of Police,Kumbakonnam main road,Kadampuliyur Ps Panruti  T.K 607103 . PH: 04142 - 249222",Cuddalore
154,"KAMMAPURAM Police Station, Sub-Inspector of Police,Kammapuram PS,Kammapuram  Vridhachalam Taluk606103. PH: 04142 - 267233",Cuddalore
155,"KATTUMANNARKOIL Police Station, Inspector of PoliceKattumannarkoil PS Kattumannarkoil TK608301. PH: 04144 - 262023",Cuddalore
156,"KILLAI Police Station, Sub-Inspector of PolicePichavaram main road,Killai   PS Chidambaram T.K- 608102. PH: 04144 - 249228",Cuddalore
157,"KULLANCHAVADI Police Station, Inspector of PoliceVirudhachalam main roadKullanchavady PS 608302. PH: 04142 - 279233",Cuddalore
158,"KUMARATCHI Police Station, Inspector of PoliceKumarachi  PS Chidambaram roadKattumannarkoil TK 608302. PH: 04144 - 251222",Cuddalore
159,"KURINJIPADI Police Station, Inspector of PoliceVirudhachalam main roadKuringipadi PS607302 . PH: 04142 - 258350",Cuddalore
160,"MANGALAMPET Police Station, Inspector of Police X2 Mangalampettai PS Ulundurpet main road Mangalampettai 606104 . PH: 04143 - 244222",Cuddalore
161,"MUTHANDIKUPPAM Police Station, Inspector of Police, Muthanidikuppam PS Kattukudalur main road Muthanidikuppam Panruti  T.K 607102 . PH: 04142 - 266338",Cuddalore
